.....sss..............                                                   [100%]
19 passed, 3 skipped in 4.94s
lines   cov%   module   (path)
   18   100%   locale   (/root/.pyenv/versions/3.10.19/lib/python3.10/locale.py)
  126   100%   logging.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/logging/__init__.py)
  205   100%   mimetypes   (/root/.pyenv/versions/3.10.19/lib/python3.10/mimetypes.py)
   33   100%   os   (/root/.pyenv/versions/3.10.19/lib/python3.10/os.py)
  215   100%   pathlib   (/root/.pyenv/versions/3.10.19/lib/python3.10/pathlib.py)
  163   100%   pdb   (/root/.pyenv/versions/3.10.19/lib/python3.10/pdb.py)
   49   100%   pluggy._callers   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pluggy/_callers.py)
  115   100%   pluggy._hooks   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pluggy/_hooks.py)
   83   100%   pluggy._manager   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pluggy/_manager.py)
    8   100%   pluggy._result   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pluggy/_result.py)
   13   100%   pluggy._tracing   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pluggy/_tracing.py)
  134   100%   posixpath   (/root/.pyenv/versions/3.10.19/lib/python3.10/posixpath.py)
  179   100%   pydantic.__init__   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/__init__.py)
  218   100%   pydantic._internal._config   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_config.py)
   27   100%   pydantic._internal._core_metadata   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_core_metadata.py)
   53   100%   pydantic._internal._core_utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_core_utils.py)
  189   100%   pydantic._internal._decorators   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_decorators.py)
   31   100%   pydantic._internal._discriminated_union   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_discriminated_union.py)
   15   100%   pydantic._internal._docs_extraction   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_docs_extraction.py)
  134   100%   pydantic._internal._fields   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_fields.py)
   11   100%   pydantic._internal._forward_ref   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_forward_ref.py)
  756   100%   pydantic._internal._generate_schema   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_generate_schema.py)
   76   100%   pydantic._internal._generics   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_generics.py)
   11   100%   pydantic._internal._import_utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_import_utils.py)
    3   100%   pydantic._internal._internal_dataclass   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_internal_dataclass.py)
  127   100%   pydantic._internal._known_annotated_metadata   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_known_annotated_metadata.py)
   60   100%   pydantic._internal._mock_val_ser   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_mock_val_ser.py)
  266   100%   pydantic._internal._model_construction   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_model_construction.py)
   69   100%   pydantic._internal._namespace_utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_namespace_utils.py)
   25   100%   pydantic._internal._repr   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_repr.py)
   91   100%   pydantic._internal._schema_gather   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_schema_gather.py)
   30   100%   pydantic._internal._schema_generation_shared   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_schema_generation_shared.py)
   15   100%   pydantic._internal._signature   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_signature.py)
  151   100%   pydantic._internal._typing_extra   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_typing_extra.py)
  114   100%   pydantic._internal._utils   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_utils.py)
   79   100%   pydantic._internal._validators   (/root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/pydantic/_internal/_validators.py)
